	edit_distance	expression	Selection Direction
0	0	5.472652435302734	min
1	0	13.280482292175293	min
2	0	9.284010887145996	min
3	0	12.101153373718262	min
4	0	9.271631240844727	min
5	0	7.614426612854004	min
6	0	14.199714660644531	min
7	0	12.475875854492188	min
8	0	10.940906524658203	min
9	0	8.512956619262695	min
10	0	9.258657455444336	min
11	0	5.866197109222412	min
12	0	11.038263320922852	min
13	0	10.718088150024414	min
14	0	10.948047637939453	min
15	0	7.6826934814453125	min
16	0	10.301952362060547	min
17	0	6.2916035652160645	min
18	0	9.12448501586914	min
19	0	10.797505378723145	min
20	0	14.301587104797363	min
21	0	6.589235305786133	min
22	0	14.13112735748291	min
23	0	5.3863935470581055	min
24	0	12.107474327087402	min
25	0	15.879839897155762	min
26	0	16.731077194213867	min
27	0	10.743097305297852	min
28	0	11.653475761413574	min
29	0	14.507223129272461	min
30	0	10.662501335144043	min
31	0	13.04096508026123	min
32	0	15.7881441116333	min
33	0	15.754382133483887	min
34	0	10.12447738647461	min
35	0	17.184598922729492	min
36	0	10.28746509552002	min
37	0	11.705770492553711	min
38	0	7.0925612449646	min
39	0	6.1764702796936035	min
40	0	11.789037704467773	min
41	0	12.124038696289062	min
42	0	15.383204460144043	min
43	0	12.157855033874512	min
44	0	9.754494667053223	min
45	0	14.832815170288086	min
46	0	8.058634757995605	min
47	0	14.629987716674805	min
48	0	12.01229190826416	min
49	0	9.143231391906738	min
50	0	14.352434158325195	min
51	0	10.9895658493042	min
52	0	5.69793701171875	min
53	0	10.16931438446045	min
54	0	6.029353618621826	min
55	0	7.396061420440674	min
56	0	14.098973274230957	min
57	0	8.110989570617676	min
58	0	14.056584358215332	min
59	0	8.509803771972656	min
60	0	10.785289764404297	min
61	0	9.480257987976074	min
62	0	13.332266807556152	min
63	0	8.018379211425781	min
64	0	9.857636451721191	min
65	0	7.8450117111206055	min
66	0	7.344405651092529	min
67	0	13.020265579223633	min
68	0	12.123054504394531	min
69	0	13.888648986816406	min
70	0	13.066829681396484	min
71	0	11.029696464538574	min
72	0	9.973878860473633	min
73	0	13.24609375	min
74	0	9.432049751281738	min
75	0	10.225512504577637	min
76	0	5.6693549156188965	min
77	0	7.1858086585998535	min
78	0	11.298449516296387	min
79	0	11.118709564208984	min
80	0	8.627355575561523	min
81	0	14.1864652633667	min
82	0	8.14914321899414	min
83	0	13.218400001525879	min
84	0	8.033650398254395	min
85	0	6.996413707733154	min
86	0	7.368785381317139	min
87	0	15.792305946350098	min
88	0	6.499527931213379	min
89	0	13.831414222717285	min
90	0	10.6292724609375	min
91	0	7.655165195465088	min
92	0	8.397188186645508	min
93	0	6.523640155792236	min
94	0	8.638772964477539	min
95	0	13.500228881835938	min
96	0	7.0559234619140625	min
97	0	12.842741966247559	min
98	0	13.673124313354492	min
99	0	9.756746292114258	min
100	0	10.444403648376465	min
101	0	14.189123153686523	min
102	0	10.022488594055176	min
103	0	10.330606460571289	min
104	0	14.735233306884766	min
105	0	7.558561325073242	min
106	0	13.525700569152832	min
107	0	14.021225929260254	min
108	0	11.692991256713867	min
109	0	12.822006225585938	min
110	0	13.96007251739502	min
111	0	11.62511920928955	min
112	0	10.532243728637695	min
113	0	9.772196769714355	min
114	0	10.53786563873291	min
115	0	13.51380443572998	min
116	0	11.96015739440918	min
117	0	10.909529685974121	min
118	0	4.618898868560791	min
119	0	10.987565040588379	min
120	0	10.609892845153809	min
121	0	6.631825923919678	min
122	0	13.089333534240723	min
123	0	14.272684097290039	min
124	0	13.321388244628906	min
125	0	7.610019207000732	min
126	0	12.71886920928955	min
127	0	11.341449737548828	min
128	0	8.646337509155273	min
129	0	8.964397430419922	min
