	iter	ylog	optimization
0	0	8.771919250488281	max
1	0	7.764292240142822	max
2	0	7.137424945831299	max
3	0	7.306173801422119	max
4	0	8.731392860412598	max
5	0	7.326282501220703	max
6	0	5.414571762084961	max
7	0	7.271136283874512	max
8	0	8.125177383422852	max
9	0	8.207338333129883	max
10	0	4.207935810089111	max
11	0	6.020330429077148	max
12	0	6.262622356414795	max
13	0	5.32244348526001	max
14	0	7.152764320373535	max
15	0	4.977321624755859	max
16	0	10.206258773803711	max
17	0	6.138307094573975	max
18	0	7.960897445678711	max
19	0	9.81639575958252	max
20	0	6.594358921051025	max
21	0	7.708581924438477	max
22	0	7.394618511199951	max
23	0	8.027113914489746	max
24	0	9.334986686706543	max
25	0	6.804327487945557	max
26	0	6.3356032371521	max
27	0	7.00630521774292	max
28	0	5.848905086517334	max
29	0	5.387133598327637	max
30	0	7.069812297821045	max
31	0	4.285879611968994	max
32	0	10.207574844360352	max
33	0	5.221450328826904	max
34	0	6.936071395874023	max
35	0	5.276609420776367	max
36	0	5.822399139404297	max
37	0	5.769034385681152	max
38	0	5.958497524261475	max
39	0	6.071354389190674	max
40	0	10.409732818603516	max
41	0	7.230424404144287	max
42	0	9.719006538391113	max
43	0	5.8109307289123535	max
44	0	6.119369029998779	max
45	0	5.373741149902344	max
46	0	4.3962721824646	max
47	0	7.432472229003906	max
48	0	5.934088706970215	max
49	0	6.196208477020264	max
50	0	7.915259838104248	max
51	0	7.071338653564453	max
52	0	7.128204345703125	max
53	0	5.962436199188232	max
54	0	5.557397842407227	max
55	0	9.29364013671875	max
56	0	5.5775628089904785	max
57	0	7.874408721923828	max
58	0	6.451779365539551	max
59	0	6.233052730560303	max
60	0	6.561755657196045	max
61	0	5.489908695220947	max
62	0	6.766407489776611	max
63	0	5.564729690551758	max
64	0	5.400876522064209	max
65	0	6.339809417724609	max
66	0	7.288629531860352	max
67	0	5.951351642608643	max
68	0	5.091885089874268	max
69	0	7.748201370239258	max
70	0	8.68076229095459	max
71	0	9.402982711791992	max
72	0	5.464173793792725	max
73	0	10.333422660827637	max
74	0	5.654305934906006	max
75	0	3.266373872756958	max
76	0	5.931111812591553	max
77	0	5.957922458648682	max
78	0	4.535468101501465	max
79	0	8.655627250671387	max
80	0	5.32789945602417	max
81	0	6.2566704750061035	max
82	0	9.932459831237793	max
83	0	6.105463027954102	max
84	0	5.808530330657959	max
85	0	6.694714546203613	max
86	0	7.2650861740112305	max
87	0	6.252864837646484	max
88	0	11.504070281982422	max
89	0	7.166577339172363	max
90	0	7.889676570892334	max
91	0	5.707861423492432	max
92	0	9.300909996032715	max
93	0	6.6802263259887695	max
94	0	8.046248435974121	max
95	0	5.796661376953125	max
96	0	8.293791770935059	max
97	0	3.823457956314087	max
98	0	6.948662757873535	max
99	0	7.435605049133301	max
100	1	8.1542387008667	max
101	1	8.454648971557617	max
102	1	5.405612468719482	max
103	1	5.0989861488342285	max
104	1	5.548799514770508	max
105	1	5.129599094390869	max
106	1	5.074955463409424	max
107	1	7.013278007507324	max
108	1	6.629092216491699	max
109	1	7.8722405433654785	max
110	1	5.505701065063477	max
111	1	6.602723598480225	max
112	1	5.830747604370117	max
113	1	6.35142707824707	max
114	1	5.297200679779053	max
115	1	5.01061487197876	max
116	1	6.318402290344238	max
117	1	6.387272357940674	max
118	1	8.112920761108398	max
119	1	9.228470802307129	max
120	1	5.347864627838135	max
121	1	6.363152027130127	max
122	1	3.9640653133392334	max
123	1	4.948555946350098	max
124	1	6.0390400886535645	max
125	1	7.526421070098877	max
126	1	4.986844062805176	max
127	1	8.029572486877441	max
128	1	7.449079513549805	max
129	1	6.78211784362793	max
130	1	3.761817216873169	max
131	1	5.404433250427246	max
132	1	5.338059425354004	max
133	1	5.981853485107422	max
134	1	8.004239082336426	max
135	1	6.266685962677002	max
136	1	3.9119269847869873	max
137	1	5.136431694030762	max
138	1	8.024932861328125	max
139	1	6.6810712814331055	max
140	1	5.4156813621521	max
141	1	7.59207820892334	max
142	1	8.130355834960938	max
143	1	7.012373447418213	max
144	1	6.3396077156066895	max
145	1	6.998167514801025	max
146	1	6.194127082824707	max
147	1	4.98118782043457	max
148	1	7.655942916870117	max
149	1	5.278804779052734	max
150	1	6.453176021575928	max
151	1	5.554135322570801	max
152	1	7.791886806488037	max
153	1	4.6729230880737305	max
154	1	6.303033351898193	max
155	1	4.393862724304199	max
156	1	5.30418586730957	max
157	1	10.618593215942383	max
158	1	4.399259090423584	max
159	1	6.730774879455566	max
160	1	6.341184616088867	max
161	1	6.228518486022949	max
162	1	6.8157782554626465	max
163	1	8.31103801727295	max
164	1	8.455851554870605	max
165	1	6.976206302642822	max
166	1	3.6144487857818604	max
167	1	4.215759754180908	max
168	1	8.668094635009766	max
169	1	6.753767967224121	max
170	1	6.524366855621338	max
171	1	7.494444370269775	max
172	1	5.648116588592529	max
173	1	5.6208391189575195	max
174	1	6.2915940284729	max
175	1	5.980757713317871	max
176	1	6.025545597076416	max
177	1	5.8215813636779785	max
178	1	7.38920259475708	max
179	1	5.417011737823486	max
180	1	7.201334476470947	max
181	1	5.637189865112305	max
182	1	7.241603851318359	max
183	1	5.754598617553711	max
184	1	5.964705467224121	max
185	1	6.841938495635986	max
186	1	6.281682968139648	max
187	1	7.189045429229736	max
188	1	5.8630876541137695	max
189	1	4.535367488861084	max
190	1	5.6850481033325195	max
191	1	7.8723039627075195	max
192	1	5.192485332489014	max
193	1	5.564939975738525	max
194	1	7.213010311126709	max
195	1	5.668545246124268	max
196	1	8.538851737976074	max
197	1	7.908840656280518	max
198	1	8.551992416381836	max
199	1	6.114511966705322	max
200	2	10.105945587158203	max
201	2	10.620811462402344	max
202	2	8.258000373840332	max
203	2	10.649186134338379	max
204	2	7.492434501647949	max
205	2	7.262299060821533	max
206	2	10.240233421325684	max
207	2	9.993291854858398	max
208	2	5.846261978149414	max
209	2	7.585912227630615	max
210	2	6.267301082611084	max
211	2	7.462824821472168	max
212	2	7.8742499351501465	max
213	2	7.377012729644775	max
214	2	9.072056770324707	max
215	2	5.155551433563232	max
216	2	9.659043312072754	max
217	2	6.229935646057129	max
218	2	10.340873718261719	max
219	2	7.058711528778076	max
220	2	8.736217498779297	max
221	2	6.366440296173096	max
222	2	6.072917461395264	max
223	2	10.194782257080078	max
224	2	7.204927444458008	max
225	2	9.834137916564941	max
226	2	6.706396579742432	max
227	2	7.2086100578308105	max
228	2	9.916553497314453	max
229	2	5.925078392028809	max
230	2	7.385927677154541	max
231	2	8.52616024017334	max
232	2	5.93439245223999	max
233	2	6.687697410583496	max
234	2	7.417995929718018	max
235	2	5.834862232208252	max
236	2	7.148118495941162	max
237	2	7.438645362854004	max
238	2	9.231024742126465	max
239	2	6.159481048583984	max
240	2	11.277833938598633	max
241	2	7.8331379890441895	max
242	2	9.447996139526367	max
243	2	6.468064308166504	max
244	2	8.599867820739746	max
245	2	5.548635959625244	max
246	2	5.476891994476318	max
247	2	6.503762722015381	max
248	2	9.923103332519531	max
249	2	7.23405647277832	max
250	2	6.237891674041748	max
251	2	6.386276721954346	max
252	2	7.400339126586914	max
253	2	8.012469291687012	max
254	2	7.925497531890869	max
255	2	7.570449352264404	max
256	2	9.106400489807129	max
257	2	9.27365493774414	max
258	2	9.751275062561035	max
259	2	7.273515224456787	max
260	2	9.491740226745605	max
261	2	8.426637649536133	max
262	2	9.174195289611816	max
263	2	6.863206386566162	max
264	2	8.840538024902344	max
265	2	5.192835807800293	max
266	2	7.452095031738281	max
267	2	9.272565841674805	max
268	2	8.743558883666992	max
269	2	8.50910472869873	max
270	2	8.628843307495117	max
271	2	8.688094139099121	max
272	2	4.943229675292969	max
273	2	8.14590835571289	max
274	2	8.462018013000488	max
275	2	9.429116249084473	max
276	2	5.960362434387207	max
277	2	7.378945827484131	max
278	2	10.568644523620605	max
279	2	6.844392776489258	max
280	2	9.897900581359863	max
281	2	8.511709213256836	max
282	2	6.783532619476318	max
283	2	8.562249183654785	max
284	2	6.162145137786865	max
285	2	6.365852355957031	max
286	2	8.053119659423828	max
287	2	7.355558395385742	max
288	2	7.018357276916504	max
289	2	8.727001190185547	max
290	2	11.031061172485352	max
291	2	6.820101261138916	max
292	2	14.633735656738281	max
293	2	7.734847545623779	max
294	2	9.117985725402832	max
295	2	5.685707092285156	max
296	2	5.094648361206055	max
297	2	8.0343017578125	max
298	2	9.172078132629395	max
299	2	10.309127807617188	max
300	3	11.153909683227539	max
301	3	8.113977432250977	max
302	3	9.6280517578125	max
303	3	7.565982341766357	max
304	3	8.137776374816895	max
305	3	10.342263221740723	max
306	3	8.814393997192383	max
307	3	9.744755744934082	max
308	3	11.261923789978027	max
309	3	12.069367408752441	max
310	3	6.391220569610596	max
311	3	10.849502563476562	max
312	3	10.578604698181152	max
313	3	11.334304809570312	max
314	3	11.358818054199219	max
315	3	10.723240852355957	max
316	3	12.559947967529297	max
317	3	10.398431777954102	max
318	3	10.569367408752441	max
319	3	7.581949234008789	max
320	3	7.581308364868164	max
321	3	11.142833709716797	max
322	3	11.389848709106445	max
323	3	9.661797523498535	max
324	3	13.284454345703125	max
325	3	10.48685359954834	max
326	3	10.586133003234863	max
327	3	6.580535411834717	max
328	3	7.253434181213379	max
329	3	8.336432456970215	max
330	3	12.451558113098145	max
331	3	8.354986190795898	max
332	3	6.737689971923828	max
333	3	10.538634300231934	max
334	3	8.159256935119629	max
335	3	8.294631958007812	max
336	3	14.033171653747559	max
337	3	8.516236305236816	max
338	3	9.012463569641113	max
339	3	6.830862522125244	max
340	3	8.130584716796875	max
341	3	8.766105651855469	max
342	3	7.417191982269287	max
343	3	11.094194412231445	max
344	3	7.985785007476807	max
345	3	10.241971015930176	max
346	3	11.51982593536377	max
347	3	9.531527519226074	max
