	iter	ylog	optimization
0	0	7.573753356933594	min
1	0	7.506592750549316	min
2	0	7.605241775512695	min
3	0	5.70241641998291	min
4	0	5.201740264892578	min
5	0	9.003347396850586	min
6	0	7.347195148468018	min
7	0	4.5718536376953125	min
8	0	5.701258659362793	min
9	0	7.6695556640625	min
10	0	6.398987293243408	min
11	0	6.382002830505371	min
12	0	9.461156845092773	min
13	0	5.6496357917785645	min
14	0	4.207851886749268	min
15	0	5.68690299987793	min
16	0	11.677881240844727	min
17	0	5.24025297164917	min
18	0	7.571292877197266	min
19	0	6.869871139526367	min
20	0	6.51695442199707	min
21	0	6.842618465423584	min
22	0	4.384309768676758	min
23	0	5.459073066711426	min
24	0	7.144561290740967	min
25	0	7.502719879150391	min
26	0	4.995559215545654	min
27	0	6.867031574249268	min
28	0	5.9671244621276855	min
29	0	8.330821990966797	min
30	0	6.885964393615723	min
31	0	6.536324501037598	min
32	0	8.526226043701172	min
33	0	7.562251091003418	min
34	0	8.931100845336914	min
35	0	6.567382335662842	min
36	0	4.776021957397461	min
37	0	6.219654560089111	min
38	0	7.173412322998047	min
39	0	10.356244087219238	min
40	0	7.585834980010986	min
41	0	7.999419689178467	min
42	0	7.762862682342529	min
43	0	7.194931507110596	min
44	0	6.7144880294799805	min
45	0	7.01303768157959	min
46	0	6.755377292633057	min
47	0	9.515493392944336	min
48	0	7.009234428405762	min
49	0	5.302582740783691	min
50	0	8.155832290649414	min
51	0	11.997061729431152	min
52	0	8.028461456298828	min
53	0	8.307937622070312	min
54	0	9.02725601196289	min
55	0	4.951661586761475	min
56	0	6.670015811920166	min
57	0	13.941760063171387	min
58	0	6.536860942840576	min
59	0	4.932507038116455	min
60	0	7.800119876861572	min
61	0	9.197297096252441	min
62	0	4.381897926330566	min
63	0	5.681010723114014	min
64	0	7.322018623352051	min
65	0	10.048869132995605	min
66	0	7.378515243530273	min
67	0	3.5777475833892822	min
68	0	5.508474826812744	min
69	0	7.885901927947998	min
70	0	6.836581230163574	min
71	0	11.443052291870117	min
72	0	6.706750392913818	min
73	0	8.053093910217285	min
74	0	7.691364288330078	min
75	0	6.564119815826416	min
76	0	5.664980411529541	min
77	0	5.309027194976807	min
78	0	8.329996109008789	min
79	0	6.340412139892578	min
80	0	7.366088390350342	min
81	0	7.323258399963379	min
82	0	10.326642036437988	min
83	0	6.437526226043701	min
84	0	5.596656799316406	min
85	0	8.254264831542969	min
86	0	5.066501140594482	min
87	0	5.993827819824219	min
88	0	6.524343013763428	min
89	0	6.552496433258057	min
90	0	4.4226555824279785	min
91	0	4.655392169952393	min
92	0	5.950493335723877	min
93	0	4.488988876342773	min
94	0	8.185121536254883	min
95	0	7.911423206329346	min
96	0	6.182982444763184	min
97	0	10.677734375	min
98	0	6.45382833480835	min
99	0	8.007942199707031	min
100	1	6.353700637817383	min
101	1	6.209269046783447	min
102	1	6.4628496170043945	min
103	1	8.310132026672363	min
104	1	7.0681257247924805	min
105	1	4.262948513031006	min
106	1	7.022874355316162	min
107	1	7.217451572418213	min
108	1	6.639377117156982	min
109	1	9.44425106048584	min
110	1	6.996325969696045	min
111	1	7.342067241668701	min
112	1	6.145603179931641	min
113	1	3.7737553119659424	min
114	1	4.9515862464904785	min
115	1	6.953784465789795	min
116	1	6.939272403717041	min
117	1	5.916943550109863	min
118	1	6.837728977203369	min
119	1	7.4324445724487305	min
120	1	6.330665111541748	min
121	1	8.711331367492676	min
122	1	5.478646278381348	min
123	1	8.308321952819824	min
124	1	6.507618427276611	min
125	1	6.363765716552734	min
126	1	6.920219421386719	min
127	1	6.919267654418945	min
128	1	7.674949645996094	min
129	1	6.0439839363098145	min
130	1	6.854442119598389	min
131	1	6.351741313934326	min
132	1	5.740691184997559	min
133	1	8.619752883911133	min
134	1	7.72183895111084	min
135	1	8.463457107543945	min
136	1	6.807872772216797	min
137	1	11.452528953552246	min
138	1	9.5472993850708	min
139	1	6.357213497161865	min
140	1	6.038419246673584	min
141	1	5.551386833190918	min
142	1	10.70327091217041	min
143	1	8.675710678100586	min
144	1	6.787716388702393	min
145	1	6.705260276794434	min
146	1	7.688368320465088	min
147	1	8.144646644592285	min
148	1	6.609930992126465	min
149	1	6.780407905578613	min
150	1	7.232318878173828	min
151	1	4.783041000366211	min
152	1	7.140741348266602	min
153	1	5.5501933097839355	min
154	1	6.731564044952393	min
155	1	7.796623706817627	min
156	1	6.257727146148682	min
157	1	8.246292114257812	min
158	1	5.9029974937438965	min
159	1	6.718047618865967	min
160	1	8.220955848693848	min
161	1	6.268046855926514	min
162	1	5.085151195526123	min
163	1	4.28292179107666	min
164	1	7.7744340896606445	min
165	1	6.105799198150635	min
166	1	6.744566917419434	min
167	1	5.84114408493042	min
168	1	8.680663108825684	min
169	1	3.6177663803100586	min
170	1	5.465490818023682	min
171	1	7.4203104972839355	min
172	1	4.9087114334106445	min
173	1	5.500382423400879	min
174	1	9.187087059020996	min
175	1	8.020941734313965	min
176	1	6.500449180603027	min
177	1	6.42100715637207	min
178	1	6.4346604347229	min
179	1	5.775915622711182	min
180	1	6.340785980224609	min
181	1	5.21868371963501	min
182	1	8.359987258911133	min
183	1	8.758658409118652	min
184	1	7.602735996246338	min
185	1	7.422614097595215	min
186	1	5.710602283477783	min
187	1	7.673207759857178	min
188	1	3.8222391605377197	min
189	1	7.3233723640441895	min
190	1	6.039885997772217	min
191	1	4.899449348449707	min
192	1	8.061838150024414	min
193	1	9.118396759033203	min
194	1	4.980480194091797	min
195	1	7.608557224273682	min
196	1	5.832815647125244	min
197	1	8.39406681060791	min
198	1	8.748929023742676	min
199	1	7.2217535972595215	min
200	2	6.663256645202637	min
201	2	5.4860053062438965	min
202	2	6.926419734954834	min
203	2	5.5283074378967285	min
204	2	2.959141969680786	min
205	2	3.9255619049072266	min
206	2	4.451404094696045	min
207	2	8.852010726928711	min
208	2	5.787188529968262	min
209	2	5.649975299835205	min
210	2	6.4108123779296875	min
211	2	8.086141586303711	min
212	2	7.380621910095215	min
213	2	4.92088508605957	min
214	2	6.495762348175049	min
215	2	5.922212600708008	min
216	2	5.045264720916748	min
217	2	4.034475326538086	min
218	2	5.825900077819824	min
219	2	5.5857648849487305	min
220	2	5.931751251220703	min
221	2	5.9910993576049805	min
222	2	3.582016706466675	min
223	2	4.903814315795898	min
224	2	4.212305068969727	min
225	2	7.497945785522461	min
226	2	4.7836594581604	min
227	2	4.25059175491333	min
228	2	4.216403484344482	min
229	2	4.098917484283447	min
230	2	5.701425075531006	min
231	2	1.8720215559005737	min
232	2	5.634368896484375	min
233	2	5.720062732696533	min
234	2	5.063649654388428	min
235	2	4.733831882476807	min
236	2	5.276628494262695	min
237	2	8.227753639221191	min
238	2	3.8794667720794678	min
239	2	7.055569648742676	min
240	2	7.323776721954346	min
241	2	7.486454963684082	min
242	2	6.756344318389893	min
243	2	4.64400053024292	min
244	2	4.542804718017578	min
245	2	6.052998065948486	min
246	2	6.142523288726807	min
247	2	4.874236583709717	min
248	2	6.411221504211426	min
249	2	3.3553638458251953	min
250	2	3.7107512950897217	min
251	2	3.38655686378479	min
252	2	3.3883159160614014	min
253	2	4.4950480461120605	min
254	2	5.440781116485596	min
255	2	4.265264511108398	min
256	2	7.771000385284424	min
257	2	4.229365348815918	min
258	2	6.6637749671936035	min
259	2	5.572637557983398	min
260	2	5.792220592498779	min
261	2	7.226047992706299	min
262	2	6.3494133949279785	min
263	2	7.457752704620361	min
264	2	7.178004741668701	min
265	2	6.109306812286377	min
266	2	6.219025135040283	min
267	2	4.788304805755615	min
268	2	6.681027412414551	min
269	2	5.092226982116699	min
270	2	4.167845249176025	min
271	2	6.429738998413086	min
272	2	3.5513248443603516	min
273	2	5.683424472808838	min
274	2	5.08322811126709	min
275	2	5.607975959777832	min
276	2	5.393716812133789	min
277	2	6.697775840759277	min
278	2	5.1991095542907715	min
279	2	7.295188903808594	min
280	2	4.697721481323242	min
281	2	5.119978427886963	min
282	2	5.111023902893066	min
283	2	10.391785621643066	min
284	2	6.726264953613281	min
285	2	6.1888933181762695	min
286	2	3.6448729038238525	min
287	2	5.701361656188965	min
288	2	8.113679885864258	min
289	2	8.065570831298828	min
290	2	4.472765922546387	min
291	2	7.580486297607422	min
